id;client;carer;time;duration
1;Handcrafted info-mediaries Manager;Movies back-end;2022-08-03T09:06:44;86079
2;Bedfordshire bus incentivize;IB;2022-08-02T22:06:14;98019
3;Tools;Myanmar Product;2022-08-03T07:11:32;93120
4;Shirt methodologies Refined;Producer;2022-08-02T21:25:42;67925
5;Franc;3rd;2022-08-03T13:28:22;25122
6;Forges wireless SDD;zero RAM;2022-08-03T11:31:05;15776
7;Technician;RSS;2022-08-02T19:32:48;6632
8;Grocery implementation;Avon Personal black;2022-08-03T03:03:30;27452
9;Minnesota;mindshare Loan;2022-08-02T22:29:05;22940
10;innovate Hampshire Row;Programmable input Division;2022-08-03T05:24:09;10832
