id;client;address;carer;accesscode;timein;status;timespent
1;FTP;tan;Regional West olive;63342;2022-08-03T02:36:10;UNCOMPLETED;73078
2;Gloves Senior program;Wooden Aruban;Wooden;72082;2022-08-03T04:29:49;UNCOMPLETED;78838
3;instruction;schemas;primary data-warehouse Georgia;69142;2022-08-03T08:07:13;UNCOMPLETED;95416
4;Arizona;Pants;24/7 Technician;99088;2022-08-02T17:57:57;COMPLETED;89444
5;Steel HDD;payment Factors Wooden;Optimization communities Hat;29083;2022-08-03T13:11:52;COMPLETED;79030
6;International South projection;Horizontal;Shoes toolset;80771;2022-08-03T14:03:05;PENDING;8056
7;Web Slovenia;TCP Fantastic;International alarm Eritrea;7099;2022-08-03T06:10:39;PENDING;74009
8;best-of-breed Legacy;Fantastic;Car;37519;2022-08-03T06:04:51;UNCOMPLETED;97683
9;e-services infrastructure;Bermuda;cyan Visionary content-based;30514;2022-08-03T12:14:03;COMPLETED;42592
10;Ergonomic Canada solution-oriented;Solutions repurpose Bedfordshire;Designer;926;2022-08-03T08:45:27;COMPLETED;82590
